Tarih;KM;Kategori;YakitTuru;Tutar;Litre;Aciklama
26.06.2023;174430;Bakım;;1300;;stop
01.01.2024;171430;Bakım;;3000;;Pecochip
01.01.2024;171430;Bakım;;1000;;Afr
01.01.2024;174430;Bakım;;1000;;Direksiyon Rot
22.03.2024;;Yakıt;LPG;500;22,3;
05.04.2024;;Yakıt;LPG;651,8;30,19;
05.04.2024;;Yakıt;Benzin;1800;41,36;
07.04.2024;;Yakıt;LPG;450;20,37;
12.04.2024;;Yakıt;LPG;793,08;35,58;
12.04.2024;;Yakıt;LPG;455,86;20,36;
13.04.2024;;Yakıt;LPG;500;22,28;
20.04.2024;;Yakıt;Benzin;500;11,13;
21.04.2024;;Yakıt;LPG;811,13;36,39;
24.04.2024;172430;Bakım;;70000;;Motor
27.04.2024;;Yakıt;LPG;805,57;35,74;
27.04.2024;;Yakıt;LPG;608,04;26,61;
28.04.2024;;Yakıt;LPG;604,53;27;
11.05.2024;;Yakıt;Benzin;400;9,36;
11.05.2024;;Yakıt;LPG;350;17,33;
18.05.2024;174430;Bakım;;3000;;Yağ değişimi
18.05.2024;174430;Bakım;;700;;rot
18.05.2024;174430;Bakım;;1500;;rot parçaları
28.05.2024;;Yakıt;LPG;200;9,38;
04.06.2024;;Yakıt;Benzin;600;14,48;
17.06.2024;;Yakıt;LPG;700;33,37;
13.07.2024;;Yakıt;Benzin;500;11,14;
27.07.2024;;Yakıt;LPG;500;21,11;
09.08.2024;;Yakıt;Benzin;300;6,87;
09.08.2024;;Yakıt;LPG;500;23,49;
19.08.2024;;Yakıt;LPG;500;22,74;
22.08.2024;;Yakıt;Benzin;500;11,16;
10.09.2024;;Yakıt;LPG;400;16,4;
14.09.2024;175000;Bakım;;1500;;Termostat gövdesin montaj
14.09.2024;175000;Bakım;;3800;;Akü
14.09.2024;175000;Bakım;;599,99;;termostat gövdesi
14.09.2024;175000;Bakım;;289,9;;antifriz
14.09.2024;175000;Bakım;;207;;Polen filtresi
21.09.2024;;Yakıt;LPG;500;20,01;
28.09.2024;;Yakıt;Benzin;500;11,65;
05.10.2024;;Yakıt;LPG;500;19,54;
25.10.2024;;Yakıt;LPG;500;20,25;
09.11.2024;;Yakıt;LPG;500;18,95;
15.11.2024;;Yakıt;LPG;500;19,54;
16.11.2024;162000;MTV;;899;;2024
21.11.2024;;Yakıt;Benzin;700;16,51;
23.11.2024;170000;Sigorta;;11897;;
26.11.2024;;Yakıt;LPG;750;28,42;
07.12.2024;;Yakıt;LPG;100;3,92;
21.12.2024;;Yakıt;Benzin;200;4,64;
15.01.2025;163000;MTV;;1293;;2025 -1
18.01.2025;;Yakıt;Benzin;45;5,42;
18.01.2025;;Yakıt;Benzin;300;6,49;
26.01.2025;;Yakıt;LPG;250;9,26;
09.02.2025;;Yakıt;Benzin;500;10,78;
09.02.2025;;Yakıt;LPG;500;18,06;
01.03.2025;;Yakıt;LPG;750;26,99;
16.03.2025;;Yakıt;Benzin;1500;33,16;
27.03.2025;;Yakıt;LPG;862,2;30,37;
01.04.2025;;Yakıt;LPG;830;30,75;
10.04.2025;;Yakıt;LPG;521,58;21,04;
10.04.2025;;Yakıt;Benzin;250;9,38;
12.04.2025;;Yakıt;Benzin;900;19,68;
12.04.2025;;Yakıt;Benzin;200;4,46;
12.04.2025;;Yakıt;LPG;828,98;29,83;
23.04.2025;;Yakıt;LPG;791,37;29,43;
23.04.2025;;Yakıt;Benzin;500;11,07;
25.05.2025;;Bakım;;2915;;periyodik bakım yağ ve filitreler
25.05.2025;;Bakım;;611;;külb. kapak contası
31.05.2025;;Yakıt;LPG;739,2;27,8;
31.05.2025;;Yakıt;Benzin;500;10,67;
01.07.2025;169000;MTV;;900;;2024-2
20.07.2025;;Yakıt;LPG;500;19,31;
03.08.2025;;Yakıt;Benzin;500;9,68;
03.08.2025;;Yakıt;LPG;500;20;
05.08.2025;170000;MTV;;1293,5;;2025-2
05.09.2025;;Yakıt;Benzin;500;9,4;
05.09.2025;;Yakıt;LPG;500;20;
11.10.2025;186196;Yakıt;LPG;866,46;30,52;
11.10.2025;186196;Yakıt;LPG;812,77;28,73;
13.10.2025;186506;Yakıt;LPG;500;17,86;
13.10.2025;186506;Yakıt;Benzin;300;5,58;
21.10.2025;187011;Yakıt;LPG;843,59;29,2;
21.10.2025;187011;Yakıt;Benzin;506;9,4;
23.10.2025;187345;Yakıt;LPG;775,34;29,38;
25.10.2025;;Yakıt;LPG;857,15;29,69;
12.11.2025;;Yakıt;LPG;500;17,61;
15.11.2025;;Yakıt;Benzin;600;10,87;
23.11.2025;171000;Sigorta;;11870;;
25.11.2025;;Yakıt;LPG;172;6,21;
19.12.2025;;Yakıt;LPG;500;18,52;
19.12.2025;;Yakıt;Benzin;500;9,65;
03.01.2026;189198;Yakıt;LPG;500;17,43;
03.01.2026;;Yakıt;Benzin;28;4,75;
03.01.2026;;Yakıt;Benzin;502,39;9,97;
14.01.2026;182000;MTV;;1538,5;;
03.03.2026;189668;Yakıt;Benzin;1000;17,03;
03.03.2026;189668;Yakıt;LPG;600;20,91;
08.03.2026;189670;Yıkama;;225;;Yıkama
24.03.2026;189975;Yakıt;Benzin;200;8,06;
26.03.2026;190041;Yakıt;LPG;500;17,24;
06.04.2026;190215;Yakıt;LPG;500;14,01;
16.05.2026;190599;Yakıt;LPG;550;16,67;
19.05.2026;190604;Yakıt;Benzin;1000;15,31;
21.05.2026;190617;Bakım;;5200;;Yağ filtresi yağ hava polen
23.05.2026;190992;Yakıt;LPG;810,92;24,07;
23.05.2026;190649;Yakıt;LPG;850,48;25,78;
25.05.2026;191589;Yakıt;LPG;450;13,25;
28.05.2026;191705;Yakıt;LPG;800;23,73;
29.05.2026;191972;Yakıt;LPG;810,92;24,07;
29.05.2026;191972;Yakıt;Benzin;500;7,57;
30.05.2026;192351;Yakıt;LPG;940;28,49;
